;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
157;nind.tax.brich;-0.03312062;NA;NA;NA;-0.4617135;4;78.83384;-147.1677;4.595911;0.05700155
158;nind.tax.brich;-0.38687191;NA;0.9997008;-0.6704987;NA;5;80.38992;-146.7798;4.983754;0.04695346
159;nind.tax.brich;-0.01636422;NA;NA;-0.2609863;NA;4;78.18498;-145.87;5.893625;0.02979145
160;nind.tax.brich;-0.15177068;NA;NA;0.3437215;-0.6920873;5;78.99079;-143.9816;7.782024;0.0115886
161;nind.tax.brepl;-1.861776;NA;NA;NA;NA;3;80.99652;-154.5813;0;0.458763465
162;nind.tax.brepl;-1.630046;NA;-0.3985315;NA;NA;4;81.79536;-153.0907;1.490567;0.217729011
163;nind.tax.brepl;-1.803263;NA;NA;NA;-0.163819722;4;81.17544;-151.8509;2.730397;0.117136086
164;nind.tax.brepl;-1.798069;NA;NA;-0.1142029;NA;4;81.03681;-151.5736;3.007661;0.101972606
165;nind.tax.brepl;-1.662262;NA;-0.4350657;0.0910455;NA;5;81.82856;-149.6571;4.924154;0.039113108
166;nind.tax.brepl;-1.629683;NA;-0.3945343;NA;-0.007608373;5;81.79567;-149.5913;4.989943;0.037847446
167;nind.tax.brepl;-1.879407;NA;NA;0.2151601;-0.297119974;5;81.24514;-148.4903;6.091011;0.021824413
168;nind.tax.brepl;-1.709619;NA;-0.4043897;0.2361967;-0.159683282;6;81.88735;-145.7747;8.806591;0.005613864
169;all.func.btotal;-0.8169059;NA;NA;NA;-1.169148;4;20.72459;-30.94919;0;0.416130431
170;all.func.btotal;-1.2038469;NA;1.0579774;NA;-1.595509;5;22.45734;-30.91468;0.03451069;0.409011553
171;all.func.btotal;-0.9078973;NA;NA;0.3016499;-1.246763;5;20.88669;-27.77338;3.17581107;0.085037575
172;all.func.btotal;-1.2487571;NA;0.9809978;0.2440134;-1.634425;6;22.55523;-27.11047;3.83871913;0.061046702
173;all.func.btotal;-0.9473881;NA;NA;NA;NA;3;15.68532;-23.95888;6.99030909;0.012627086
174;all.func.btotal;-0.6635723;NA;NA;-0.4804001;NA;4;17.08095;-23.66191;7.28727805;0.010884717
175;all.func.btotal;-0.8302991;NA;-0.192431;NA;NA;4;15.87448;-21.24896;9.70022633;0.003257257
176;all.func.btotal;-0.7083065;NA;0.1221625;-0.5392019;NA;5;17.13908;-20.27816;10.67103099;0.002004678
177;all.func.brich;-1.463574;NA;NA;NA;-0.647031;4;30.89365;-51.2873;0;0.43686308
178;all.func.brich;-1.731673;NA;0.5463385;NA;-0.9422419;5;32.19505;-50.3901;0.8972019;0.278946181
179;all.func.brich;-1.590567;NA;NA;0.3384283;-0.8230752;5;31.1745;-48.349;2.9382969;0.100531525
180;all.func.brich;-1.674285;NA;NA;NA;NA;3;27.41445;-47.41713;3.870168;0.06308833
181;all.func.brich;-1.894126;NA;0.5718923;0.3863265;-1.147495;6;32.5467;-47.0934;4.1939021;0.05366005
182;all.func.brich;-1.445074;NA;NA;-0.4151664;NA;4;28.57922;-46.65844;4.6288581;0.043171942
183;all.func.brich;-1.580048;NA;-0.1583131;NA;NA;4;27.57443;-44.64885;6.6384478;0.0158061
184;all.func.brich;-1.483011;NA;0.1077954;-0.4702157;NA;5;28.63503;-43.27007;8.0172293;0.007932793
185;all.func.brepl;-1.745228;NA;NA;NA;-1.335185;4;31.62687;-52.75373;0;0.5907941448
186;all.func.brepl;-1.969412;NA;0.7494496;NA;-1.503345;5;32.54037;-51.08074;1.672995;0.2559469353
187;all.func.brepl;-1.796164;NA;NA;0.1527962;-1.364552;5;31.6945;-49.38899;3.364739;0.1098480874
188;all.func.brepl;-2.01562;NA;0.7411651;0.1532971;-1.546026;6;32.60668;-47.21337;5.540361;0.0370136633
