;Sampl;Ind;Obs;S1;S2;Q1;Q2;Jack1ab;Jack1abP;Jack1in;Jack1inP;Jack2ab;Jack2abP;Jack2in;Jack2inP;Chao1;Chao1P;Chao2;Chao2P
Malhadas;15;06/01/1900  0,11,00;0,724305556;5,04,00;0,086805556;6,29,00;0,102083333;22,23,00;24,61819254;22,70066667;25,99732173;25,98;28,81561162;26,64709524;30,56706927;22,57333333;25,07762311;24,3935;28,07945004
Malhadas;16;153,61;17,22,00;5,57,00;0,091666667;6,48,00;0,102777778;0,971527778;25,25360538;1,163194444;26,70047529;26,64;29,55741153;27,42966667;31,48578611;1,975694444;25,72681805;25,30933333;29,15386164
Malhadas;17;161,92;0,75625;0,265972222;1,08,00;6,08,00;0,097916667;23,52,00;26,14569693;01/01/1900  0,09,00;27,75490693;01/01/1900  3,55,00;30,65898706;28,59275735;32,99000533;23,83583333;26,56899384;26,77333333;31,00722166
Malhadas;18;170,62;18,01,00;0,277083333;0,1;0,315277778;0,100694444;24;26,71196738;24,56444444;28,30278918;01/01/1900  4,15,00;31,35667663;29,18562092;33,6686629;01/01/1900  0,19,00;26,97629172;27,152;31,43034627
Malhadas;19;07/01/1900  11,43,00;18,41,00;6,18,00;0,108333333;7,14,00;0,105555556;01/01/1900  0,59,00;27,41528908;25,17421053;29,03799743;28,81;32,14669159;29,94017544;34,57256631;24,77;27,67878106;27,85733333;32,2716115
Malhadas;20;07/01/1900  20,54,00;0,799305556;6,31,00;0,109722222;7,25,00;0,109027778;01/01/1900  1,02,00;27,9104819;25,5975;29,49929691;01/01/1900  5,35,00;32,76270516;30,44281579;35,11282055;25,11583333;28,06493815;28,13116667;32,54002359
Malhadas;21;08/01/1900  3,07,00;0,81875;6,41,00;2,03,00;7,39,00;0,109027778;01/01/1900  1,04,00;28,33308965;26,02809524;30,02321275;29,78;33,23800459;31,02102381;35,81028498;25,3425;28,30877413;28,7945;33,34870741
Malhadas;22;08/01/1900  12,04,00;19,34,00;0,295138889;2;0,336111111;0,10625;25,99;29,09553075;26,63272727;30,83181083;30,64;34,31838078;31,90718615;36,96326725;26,13416667;29,29416074;29,85166667;34,70883416
Malhadas;23;213,79;19,07,00;0,309027778;2,01,00;0,348611111;2,01,00;01/01/1900  2,55,00;29,7752223;01/01/1900  3,18,00;31,48145414;01/01/1900  7,39,00;35,21151302;32,56820158;37,73344489;26,6625;29,92105706;29,3825;34,10205125
Malhadas;24;222;20;7;2;8;2;27;30,3075;27,66666667;32,09333333;32;35,92;33,24637681;38,5657971;27;30,3075;29,33333333;34,02666667
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
